frame,gt_id,gt_cls,det_cls,det_conf,iou,gt_cx,gt_cy,det_cx,det_cy
0,0,0,0,0.8563030362129211,0.8924820423126221,619.0632911392404,653.0425859415084,618.7861328125,652.4630126953125
0,254,0,0,0.752488911151886,0.6933807134628296,705.3924050632911,638.6351975371986,703.259033203125,635.5349731445312
0,260,0,0,0.46074241399765015,0.8658578395843506,675.0379746835442,675.7619291944586,674.0675048828125,676.212158203125
0,261,0,0,0.6371067762374878,0.6953750848770142,687.8481012658228,662.1857362750128,687.682373046875,657.9527587890625
0,262,1,1,0.8513851761817932,0.8552386164665222,123.92405063291139,598.1836839404823,123.18637084960938,599.6304931640625
1,0,0,0,0.8592493534088135,0.8793273568153381,617.9493670886076,653.0425859415084,618.5059814453125,652.82666015625
1,254,0,0,0.7538139820098877,0.7509716153144836,704.2784810126582,638.6351975371986,703.2952880859375,635.4920654296875
1,260,0,0,0.4650629460811615,0.862179160118103,675.0379746835442,675.7619291944586,673.9869384765625,676.1036987304688
1,261,0,0,0.6359400749206543,0.8198252320289612,687.8481012658228,659.969214982042,687.71875,657.9412841796875
1,262,1,1,0.8489764332771301,0.8658490777015686,126.1518987341772,598.1836839404823,124.14053344726562,599.186279296875
2,0,0,0,0.8490882515907288,0.8299316167831421,616.8354430379746,653.0425859415084,618.0015869140625,652.7144775390625
2,254,0,0,0.7595020532608032,0.7546854019165039,703.1645569620252,638.6351975371986,702.4476928710938,635.291259765625
2,260,0,0,0.45372071862220764,0.865761399269104,675.0379746835442,675.7619291944586,674.00927734375,676.0778198242188
2,261,0,0,0.639476478099823,0.8166161775588989,687.8481012658228,659.969214982042,687.481689453125,657.931884765625
2,262,1,1,0.8702069520950317,0.8894684910774231,128.37974683544303,598.1836839404823,128.00933837890625,599.1785888671875
3,0,0,0,0.8521862626075745,0.9079764485359192,616.8354430379746,653.0425859415084,616.614990234375,652.6626586914062
3,254,0,0,0.7621438503265381,0.7671906352043152,702.0506329113923,638.6351975371986,702.4815673828125,635.2388916015625
3,260,0,0,0.4561745822429657,0.8726287484169006,675.0379746835442,675.7619291944586,674.0174560546875,675.9471435546875
3,261,0,0,0.6353372931480408,0.8234919309616089,687.8481012658228,659.969214982042,687.7102661132812,658.012939453125
3,262,1,1,0.8682604432106018,0.8488641381263733,130.60759493670886,598.1836839404823,129.639404296875,599.68798828125
4,0,0,0,0.8639729619026184,0.8963437080383301,615.7215189873417,653.0425859415084,616.0284423828125,653.2719116210938
4,254,0,0,0.760128915309906,0.7485576868057251,700.9367088607594,638.6351975371986,701.1990966796875,634.7626953125
4,260,0,0,0.4647112190723419,0.8722729086875916,675.0379746835442,675.7619291944586,673.9871826171875,675.8794555664062
4,261,0,0,0.6387808322906494,0.8281362056732178,687.8481012658228,659.969214982042,687.7561645507812,658.00048828125
4,262,1,1,0.848507285118103,0.9085971713066101,132.83544303797467,600.400205233453,131.89271545410156,601.118408203125
5,0,0,0,0.8687392473220825,0.8589951395988464,614.6075949367089,653.0425859415084,615.5321044921875,653.48046875
5,254,0,0,0.7587152123451233,0.749506413936615,700.9367088607594,638.6351975371986,701.1905517578125,634.772705078125
5,260,0,0,0.46753665804862976,0.8654686212539673,675.0379746835442,675.7619291944586,673.934814453125,675.8787841796875
5,261,0,0,0.637604832649231,0.8279816508293152,687.8481012658228,659.969214982042,687.7141723632812,658.0023193359375
5,262,1,1,0.8567565679550171,0.8781801462173462,135.62025316455697,600.400205233453,134.08326721191406,601.0626831054688
6,0,0,0,0.8719292283058167,0.9096971154212952,614.6075949367089,653.0425859415084,614.2432861328125,653.9088134765625
6,254,0,0,0.7456592321395874,0.7479887008666992,699.8227848101264,638.6351975371986,700.9912109375,635.6513671875
6,260,0,0,0.48683494329452515,0.8437073826789856,675.0379746835442,675.7619291944586,673.815673828125,676.1212768554688
6,261,0,0,0.6365614533424377,0.8049683570861816,687.8481012658228,659.969214982042,687.31884765625,657.8291015625
6,262,1,1,0.8636206388473511,0.9159470796585083,137.84810126582278,600.400205233453,138.0658721923828,600.7880249023438
7,0,0,0,0.8656803369522095,0.8798494935035706,613.493670886076,653.0425859415084,613.0311279296875,654.1953125
7,254,0,0,0.8008783459663391,0.7800686955451965,698.7088607594937,638.6351975371986,697.1773681640625,636.6732177734375
7,260,0,0,0.4874865412712097,0.8349466919898987,675.0379746835442,675.7619291944586,673.8045654296875,676.3043212890625
7,261,0,0,0.5640916228294373,0.7657608389854431,687.8481012658228,659.969214982042,686.460205078125,658.4632568359375
7,262,1,1,0.8603157997131348,0.940312385559082,140.0759493670886,600.400205233453,139.53697204589844,601.0978393554688
8,0,0,0,0.8653372526168823,0.8360719680786133,612.379746835443,654.1508465879938,612.9465942382812,654.4918212890625
8,254,0,0,0.8083254098892212,0.8389968872070312,697.5949367088608,638.6351975371986,697.127685546875,636.5814819335938
8,260,0,0,0.4773740768432617,0.9479127526283264,675.0379746835442,675.7619291944586,675.211669921875,675.18798828125
8,261,0,0,0.5674580335617065,0.7572106122970581,687.8481012658228,659.969214982042,686.31689453125,658.5302734375
8,262,1,1,0.8546695113182068,0.9416353702545166,142.30379746835442,602.6167265264237,142.46270751953125,601.805908203125
9,0,0,0,0.8537783622741699,0.9256036281585693,612.379746835443,655.2591072344792,612.25048828125,655.2107543945312
9,254,0,0,0.8087798357009888,0.8016825318336487,697.5949367088608,638.6351975371986,695.81640625,637.4113159179688
9,260,0,0,0.48916029930114746,0.8561347126960754,675.0379746835442,675.7619291944586,673.9579467773438,676.1947631835938
9,261,0,0,0.5215825438499451,0.7697869539260864,687.8481012658228,659.969214982042,686.46533203125,658.5321044921875
9,262,1,1,0.8558300137519836,0.936063826084137,144.53164556962025,602.6167265264237,144.71641540527344,601.496337890625
10,0,0,0,0.8533624410629272,0.9075634479522705,611.2658227848101,655.2591072344792,611.68701171875,655.0948486328125
10,254,0,0,0.8107457756996155,0.8254860043525696,696.4810126582279,638.6351975371986,694.9818115234375,637.5438842773438
10,260,0,0,0.48977237939834595,0.9626469016075134,675.0379746835442,675.7619291944586,675.15966796875,675.47216796875
10,261,0,0,0.5014693737030029,0.654569149017334,687.8481012658228,659.969214982042,685.029541015625,658.5328369140625
10,262,1,1,0.8571536540985107,0.9621891379356384,147.873417721519,602.6167265264237,148.12074279785156,602.220458984375
11,0,0,0,0.8476583361625671,0.9213661551475525,610.1518987341772,655.2591072344792,610.5596923828125,655.23779296875
11,254,0,0,0.8066140413284302,0.8402889370918274,695.367088607595,638.6351975371986,693.924072265625,639.013427734375
11,260,0,0,0.5001765489578247,0.8399558663368225,675.0379746835442,675.7619291944586,673.8070068359375,676.2161865234375
11,261,0,0,0.4755953550338745,0.6668962240219116,687.8481012658228,659.969214982042,685.0438232421875,658.79638671875
11,262,1,1,0.8413645029067993,0.9752082228660583,150.1012658227848,602.6167265264237,150.1875,602.8668212890625
12,0,0,0,0.8590686917304993,0.8837503790855408,610.1518987341772,655.2591072344792,609.9083251953125,655.4600830078125
12,254,0,0,0.8097537755966187,0.8761684894561768,694.253164556962,638.6351975371986,693.299072265625,638.7160034179688
12,260,0,0,0.492144912481308,0.7517309784889221,676.1518987341772,675.7619291944586,673.9588623046875,675.951904296875
12,262,1,1,0.856002688407898,0.9311692118644714,152.3291139240506,604.8332478193945,152.4303436279297,603.6644287109375
12,0,0,0,0.8594734072685242,0.8761789202690125,610.1518987341772,655.2591072344792,608.7655639648438,655.2011108398438
12,254,0,0,0.8087498545646667,0.8715785145759583,694.253164556962,638.6351975371986,693.204833984375,638.7687377929688
12,260,0,0,0.48323172330856323,0.7511780858039856,676.1518987341772,675.7619291944586,673.9840087890625,676.1873779296875
12,261,0,0,0.4810710549354553,0.6652399301528931,687.8481012658228,659.969214982042,684.9656982421875,658.8980712890625
12,262,1,1,0.8559911251068115,0.889612078666687,152.3291139240506,604.8332478193945,154.350830078125,604.964599609375
112,0,0,0,0.8678891062736511,0.903529167175293,538.8607594936709,683.5197537198562,537.8592529296875,683.3623657226562
112,131,1,1,0.8432733416557312,0.8853566646575928,510.1772151898734,484.5869676757311,509.1708984375,483.2428283691406
112,254,0,0,0.8630410432815552,0.8879809975624084,610.7088607594937,657.4756285274499,610.4282836914062,657.515869140625
112,260,0,0,0.56666100025177,0.8638636469841003,686.1772151898733,675.7619291944586,686.0325927734375,673.7364501953125
112,261,0,0,0.6457878351211548,0.7534469962120056,710.9620253164557,655.2591072344792,709.0245361328125,655.783935546875
112,262,1,1,0.8548486232757568,0.9066664576530457,370.9367088607595,613.6993329912775,370.2093811035156,613.3771362304688
112,263,1,1,0.8919205069541931,0.9035751819610596,227.51898734177215,601.5084658799384,226.89627075195312,602.7567138671875
212,0,0,0,0.8764553666114807,0.9121395349502563,482.60759493670884,738.3786557208824,482.9101257324219,738.8102416992188
212,131,1,1,0.8660728931427002,0.8281949162483215,65.16455696202532,477.93740379681884,63.30036926269531,477.03680419921875
212,254,0,0,0.8786302208900452,0.9162086248397827,525.493670886076,671.0518214468957,525.2730712890625,670.342041015625
212,262,1,1,0.8808580040931702,0.8679881691932678,603.4683544303798,587.1010774756285,602.7779541015625,585.3271484375
212,263,1,1,0.8754182457923889,0.901116669178009,448.63291139240505,608.1580297588506,448.91204833984375,606.4222412109375
212,264,1,1,0.8730519413948059,0.8938379287719727,701.493670886076,476.8291431503335,700.5569458007812,476.43682861328125
213,0,0,0,0.8771287202835083,0.9186156392097473,482.60759493670884,740.5951770138532,482.6173095703125,739.3462524414062
213,131,1,1,0.8652552366256714,0.8624200820922852,60.708860759493675,477.93740379681884,59.44944763183594,476.7105712890625
213,254,0,0,0.8938718438148499,0.8899242281913757,524.9367088607594,671.0518214468957,524.2674560546875,670.802001953125
213,262,1,1,0.8868315815925598,0.8676919341087341,605.6962025316454,587.1010774756285,605.23876953125,585.00634765625
213,263,1,1,0.8801719546318054,0.8771312236785889,450.86075949367086,608.1580297588506,450.3154296875,606.1754150390625
